Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Kenya,KEN,58.14116381,58.8259447,59.50757233,60.18617698,60.86078326,61.53186756,62.19883728,62.86177758,..,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Nigeria,NGA,68.1845425,69.81722688,71.45173552,73.08745791,74.72412633,76.36179027,78.00019357,79.63940859,..,..
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,Ghana,GHA,67.7276639,68.64242556,69.5567493,70.47063513,71.38408304,72.29709304,73.20966513,74.1217993,..,..
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,Kenya,KEN,48.24871846,48.96491811,49.68131683,50.39791462,51.11471149,51.83170742,52.54890243,53.26629651,..,..
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,Nigeria,NGA,52.72918979,54.23242071,55.74647549,57.27135413,58.80705664,60.35358301,61.91093325,63.47910735,..,..
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,Ghana,GHA,92.18222048,93.08571828,93.9935858,94.90582305,95.82243002,96.74340671,97.66875312,98.42583451,..,..
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,Kenya,KEN,86.8037402,86.73939766,86.67498541,86.61050342,86.54595171,86.48133028,86.41663912,86.35187823,..,..
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,Nigeria,NGA,85.03687634,86.24525292,87.46210156,88.68742226,89.92121502,91.16347985,92.41421673,93.67342567,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ghana,GHA,20.40010794,21.5279301,22.67010856,23.82630738,24.99607292,26.1791986,27.37524341,28.58388717,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Kenya,KEN,33.6913972,34.08849426,34.488204,34.89064174,35.29579479,35.70381994,36.11475567,36.52872003,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Nigeria,NGA,39.21938255,40.19732734,41.19971911,42.22626064,43.27675278,44.35114641,45.44915489,46.57067508,..,..
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,Ghana,GHA,13.84853416,14.85507549,15.88480083,16.93771017,18.01380353,19.11308089,20.23554225,21.38118763,..,..
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,Kenya,KEN,32.72434652,33.0733595,33.4228603,33.77284892,34.12332537,34.47428964,34.82574174,35.17768166,..,..
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,Nigeria,NGA,31.93263636,32.21764622,32.50125505,32.78346285,33.06426961,33.34367535,33.62168006,33.89828374,..,..
"People using at least basic sanitation services, urban  (% of urban population)",SH.STA.BASS.UR.ZS,Ghana,GHA,25.96178742,27.04316049,28.13110211,29.22561227,30.32669099,31.43433825,32.54855406,33.66933843,..,..
"People using at least basic sanitation services, urban  (% of urban population)",SH.STA.BASS.UR.ZS,Kenya,KEN,36.49335381,36.96202266,37.43364746,37.90822821,38.38576493,38.8662576,39.34970622,39.8361108,..,..
"People using at least basic sanitation services, urban  (% of urban population)",SH.STA.BASS.UR.ZS,Nigeria,NGA,47.16476409,48.60875118,50.0671682,51.54001515,53.02729203,54.52899883,56.04513557,57.57570224,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Ghana,GHA,33.24960007,35.01281064,36.80340458,38.62106817,40.46504862,42.33545616,43.59805752,44.4680832,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Nigeria,NGA,24.96588106,25.54921487,26.1300145,26.70781306,27.28233791,27.85349083,28.4210293,28.98488487,..,..
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,Ghana,GHA,10.99318698,12.04111501,13.11336241,14.20992916,15.33081529,16.47602077,17.64554562,18.83938983,..,..
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,Nigeria,NGA,16.75367748,17.36187235,17.97966601,18.60705847,19.24404972,19.89063977,20.54682861,21.21261625,..,..
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,Ghana,GHA,52.14323274,53.999316,55.86977086,57.75459731,59.65379536,61.56736499,62.40282665,62.56317,..,..
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,Nigeria,NGA,33.92037124,34.17953546,34.43869968,34.69786389,34.95702811,35.21619233,35.47535654,35.73452076,..,..
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Ghana,GHA,11.73986952,12.32939327,12.91806222,13.50544621,14.09114719,14.67473769,15.25584969,15.83410191,..,..
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Kenya,KEN,29.3134348,29.62509837,29.93693056,30.24889853,30.56111304,30.87348987,31.18609935,31.49890373,..,..
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Nigeria,NGA,27.49724456,28.09160484,28.70101002,29.32538671,29.96467734,30.61886892,31.28784949,31.97157249,..,..
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,Ghana,GHA,11.89104904,12.75618518,13.64132234,14.54646052,15.47159972,16.41673994,17.38188118,18.36702344,..,..
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,Kenya,KEN,30.56957638,30.90895622,31.24881183,31.58914321,31.92995037,32.27123331,32.61299202,32.95522651,..,..
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,Nigeria,NGA,25.1944633,25.40629443,25.61673771,25.82579312,26.03346069,26.23974039,26.44463225,26.64813624,..,..
"People using safely managed sanitation services, urban  (% of urban population)",SH.STA.SMSS.UR.ZS,Ghana,GHA,11.61153252,11.97664255,12.33596378,12.68949619,13.03723978,13.37919457,13.71536054,14.0457377,..,..
"People using safely managed sanitation services, urban  (% of urban population)",SH.STA.SMSS.UR.ZS,Kenya,KEN,25.67386922,25.99090531,26.30987688,26.63078395,26.9536265,27.27840455,27.60511808,27.93376711,..,..
"People using safely managed sanitation services, urban  (% of urban population)",SH.STA.SMSS.UR.ZS,Nigeria,NGA,30.00816921,30.92220487,31.84520059,32.77715638,33.71807222,34.66794813,35.6267841,36.59458013,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Ghana,GHA,41.16291459,41.23998541,41.31647414,41.39238166,41.46759324,41.54222161,41.61615555,41.68938799,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Kenya,KEN,37.25882027,37.30432498,37.35084627,37.39848973,37.44704835,37.49672492,37.54742265,37.59923839,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Nigeria,NGA,30.20862592,30.33801451,30.46602616,30.59235318,30.71684341,30.83949633,30.96015682,31.07882869,..,..
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,Ghana,GHA,34.87569982,34.87569982,34.87569982,34.87569982,34.87569982,34.87569982,34.87569982,34.87569982,..,..
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,Kenya,KEN,34.64686066,34.64686066,34.64686066,34.64686066,34.64686066,34.64686066,34.64686066,34.64686066,..,..
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,Nigeria,NGA,22.88348198,22.88348198,22.88348198,22.88348198,22.88348198,22.88348198,22.88348198,22.88348198,..,..
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,Ghana,GHA,46.50017848,46.50017848,46.50017848,46.50017848,46.50017848,46.50017848,46.50017848,46.50017848,..,..
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,Kenya,KEN,44.82676927,44.82676927,44.82676927,44.82676927,44.82676927,44.82676927,44.82676927,44.82676927,..,..
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,Nigeria,NGA,38.19587634,38.19587634,38.19587634,38.19587634,38.19587634,38.19587634,38.19587634,38.19587634,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Ghana,GHA,0.113,0.122,0.089,0.143,0.103,0.164,0.127,0.141,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Kenya,KEN,..,..,..,0.161,..,..,0.098,0.102,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Nigeria,NGA,..,0.443,..,0.376,0.367,..,0.395,0.394,..,..
"Population ages 00-04, female",SP.POP.0004.FE,Ghana,GHA,2042742,2068459,2079455,2079028,2075481,2070803,2067610,2071689,2081881,2093308
"Population ages 00-04, female",SP.POP.0004.FE,Kenya,KEN,3480580,3459847,3448811,3442632,3441049,3443384,3449705,3465957,3492622,3528897
"Population ages 00-04, female",SP.POP.0004.FE,Nigeria,NGA,16226602,16384686,16476996,16516564,16501011,16447206,16420927,16459178,16556885,16704305
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Ghana,GHA,14.22862295,14.08424029,13.85214037,13.56502512,13.27245047,12.98019091,12.70727154,12.4888295,12.31127186,12.146969
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Kenya,KEN,14.72829228,14.31854375,13.9637267,13.65506731,13.38021696,13.12578582,12.89798868,12.70888635,12.55345839,12.43582076
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Nigeria,NGA,17.16760342,16.91778197,16.61052569,16.27565389,15.91289552,15.53126157,15.18891513,14.91324225,14.69424153,14.5247618
"Population ages 00-04, male",SP.POP.0004.MA,Ghana,GHA,2097510,2124373,2136240,2136661,2134049,2130257,2127862,2132788,2143885,2156193
"Population ages 00-04, male",SP.POP.0004.MA,Kenya,KEN,3530660,3510467,3499917,3494105,3492851,3494826,3499790,3516006,3544074,3581308
"Population ages 00-04, male",SP.POP.0004.MA,Nigeria,NGA,16587655,16751595,16853189,16904274,16898430,16850028,16826998,16868030,16969739,17124785
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Ghana,GHA,14.62749849,14.48066748,14.24486492,13.95488976,13.66103211,13.36904531,13.09647971,12.87852311,12.70259093,12.54020387
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Kenya,KEN,15.05188466,14.64141211,14.28572012,13.97881545,13.70530554,13.45012368,13.22017444,13.03163543,12.87957428,12.76482324
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Nigeria,NGA,17.25128727,16.99034356,16.67667185,16.33917268,15.97359118,15.5876238,15.23935765,14.95595493,14.72978987,14.55276306
"Population ages 00-14, total",SP.POP.0014.TO,Ghana,GHA,11078639,11273030,11443855,11595071,11738136,11870064,11991570,12109097,12224102,12331256
"Population ages 00-14, total",SP.POP.0014.TO,Kenya,KEN,19776680,19989341,20177776,20310254,20413998,20513146,20589148,20654588,20722869,20787672
"Population ages 00-14, total",SP.POP.0014.TO,Nigeria,NGA,84506985,86272927,87872868,89299335,90553942,91645439,92644833,93617232,94553713,95430802
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Ghana,GHA,38.60681956,38.40014056,38.13556218,37.84590296,37.55128652,37.22445779,36.87595878,36.52913052,36.17891889,35.8181308
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kenya,KEN,41.99893622,41.52362166,41.01360254,40.45294583,39.86888908,39.28416892,38.68746777,38.07124564,37.44713053,36.8360577
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Nigeria,NGA,44.32063364,44.14208619,43.88057874,43.57366898,43.22680116,42.82573575,42.39469912,41.95243393,41.49222883,41.01384554
"Population ages 0-14, female",SP.POP.0014.FE.IN,Ghana,GHA,5474812,5570765,5654978,5729360,5799605,5864239,5923613,5980972,6037066,6089325
"Population ages 0-14, female",SP.POP.0014.FE.IN,Kenya,KEN,9842714,9945145,10035110,10098643,10147735,10194045,10230040,10260529,10291799,10322203
"Population ages 0-14, female",SP.POP.0014.FE.IN,Nigeria,NGA,41675119,42543557,43327997,44026445,44640543,45174684,45664168,46140470,46599425,47028066
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Ghana,GHA,38.13454099,37.93162534,37.6702395,37.38233646,37.08776819,36.75817632,36.40578198,36.05527738,35.70038004,35.33490339
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Kenya,KEN,41.65006466,41.15789144,40.63067921,40.05587673,39.45857865,38.85853124,38.24876597,37.62305676,36.99159843,36.37540747
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Nigeria,NGA,44.09191333,43.92776412,43.67912871,43.38427609,43.04950144,42.65890763,42.23812531,41.80670627,41.35700559,40.89194113
"Population ages 0-14, male",SP.POP.0014.MA.IN,Ghana,GHA,5603828,5702265,5788876,5865711,5938531,6005825,6067956,6128125,6187036,6241931
"Population ages 0-14, male",SP.POP.0014.MA.IN,Kenya,KEN,9933966,10044197,10142666,10211611,10266263,10319101,10359108,10394058,10431069,10465469
"Population ages 0-14, male",SP.POP.0014.MA.IN,Nigeria,NGA,42831866,43729369,44544871,45272890,45913398,46470755,46980665,47476763,47954288,48402736
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Ghana,GHA,39.07966031,38.86916437,38.60135743,38.30992901,38.01528215,37.69130456,37.34681533,37.00377131,36.65838841,36.3024523
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Kenya,KEN,42.35041549,41.89220597,41.3996354,40.85344093,40.28293544,39.71390413,39.13069304,38.5242747,37.90771142,37.30197513
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Nigeria,NGA,44.54546616,44.35261308,44.07831635,43.75944022,43.40059149,42.98916658,42.5480019,42.09503666,41.62448142,41.13298596
"Population ages 05-09, female",SP.POP.0509.FE,Ghana,GHA,1807239,1842526,1883520,1927961,1970360,2006924,2033886,2046028,2047179,2045247
"Population ages 05-09, female",SP.POP.0509.FE,Kenya,KEN,3385423,3431987,3455953,3451373,3430830,3409519,3390851,3380053,3381524,3388382
"Population ages 05-09, female",SP.POP.0509.FE,Nigeria,NGA,13828649,14180727,14517598,14820700,15093133,15328593,15498506,15605460,15665981,15675357
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Ghana,GHA,12.58823792,12.54585428,12.5469331,12.57936193,12.60021133,12.57978507,12.50000499,12.33413349,12.10605458,11.86807953
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Kenya,KEN,14.32562941,14.20324539,13.9926436,13.68973616,13.34048322,12.99669441,12.67794136,12.39389566,12.15414116,11.94064638
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Nigeria,NGA,14.63059051,14.64211445,14.63524966,14.60452571,14.55519595,14.4749441,14.33570056,14.13971008,13.90356349,13.63006925
"Population ages 05-09, male",SP.POP.0509.MA,Ghana,GHA,1846458,1883230,1925951,1972166,2016086,2053842,2081791,2094756,2096686,2095598
"Population ages 05-09, male",SP.POP.0509.MA,Kenya,KEN,3419345,3470102,3498152,3496578,3478065,3457849,3439206,3427991,3429202,3435928
"Population ages 05-09, male",SP.POP.0509.MA,Nigeria,NGA,14221633,14581670,14924592,15230307,15503182,15741899,15918404,16034411,16105703,16125160
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Ghana,GHA,12.87672951,12.83692996,12.8426202,12.88054244,12.90589635,12.88948385,12.81292684,12.64887555,12.42293236,12.18778647
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Kenya,KEN,14.57732947,14.47305621,14.27851586,13.98870715,13.64728799,13.30781659,12.99132138,12.70541886,12.46211616,12.24664843
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Nigeria,NGA,14.79060692,14.78949267,14.76827412,14.72116507,14.65470409,14.56251627,14.41648977,14.21683121,13.97980375,13.70327426
"Population ages 10-14, female",SP.POP.1014.FE,Ghana,GHA,1624831,1659781,1692004,1722371,1753764,1786512,1822118,1863255,1908006,1950770
"Population ages 10-14, female",SP.POP.1014.FE,Kenya,KEN,2976712,3053312,3130346,3204638,3275856,3341142,3389485,3414519,3417653,3404924
"Population ages 10-14, female",SP.POP.1014.FE,Nigeria,NGA,11619868,11978144,12333403,12689181,13046399,13398885,13744735,14075833,14376558,14648404
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Ghana,GHA,11.31768013,11.30153077,11.27116603,11.23794941,11.21510639,11.19820033,11.19850545,11.23231438,11.28305361,11.31985485
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Kenya,KEN,12.59614297,12.6361023,12.67430892,12.71107327,12.73787848,12.73605101,12.67283594,12.52027475,12.28399887,11.99894033
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Nigeria,NGA,12.2937194,12.36786769,12.43335336,12.50409649,12.58140997,12.65270195,12.71350962,12.75375394,12.75920058,12.73711008
"Population ages 10-14, male",SP.POP.1014.MA,Ghana,GHA,1659859,1694662,1726685,1756883,1788397,1821727,1858303,1900581,1946465,1990141
"Population ages 10-14, male",SP.POP.1014.MA,Kenya,KEN,2983961,3063627,3144597,3220928,3295348,3366425,3420112,3450061,3457793,3448232
"Population ages 10-14, male",SP.POP.1014.MA,Nigeria,NGA,12022577,12396104,12767091,13138310,13511787,13878828,14235263,14574322,14878846,15152791
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Ghana,GHA,11.57543231,11.55156694,11.51387231,11.47449681,11.44835369,11.4327754,11.43740878,11.47637266,11.53286512,11.57446196
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Kenya,KEN,12.72120136,12.77773766,12.83539942,12.88591833,12.93034191,12.95596385,12.91919722,12.78722041,12.56602098,12.29050346
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Nigeria,NGA,12.50357197,12.57277685,12.63337038,12.69910247,12.77229622,12.83902651,12.89215448,12.92225052,12.9148878,12.87694865
"Population ages 15-19, female",SP.POP.1519.FE,Ghana,GHA,1411049,1449817,1492225,1533330,1571389,1607890,1643192,1675455,1706129,1737488
"Population ages 15-19, female",SP.POP.1519.FE,Kenya,KEN,2542046,2618757,2700779,2779804,2857079,2936420,3014340,3092230,3172146,3248339
"Population ages 15-19, female",SP.POP.1519.FE,Nigeria,NGA,9577855,9900435,10253961,10624610,10995923,11357363,11709343,12057170,12408766,12786668
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Ghana,GHA,9.8285917,9.871878505,9.940352224,10.00451085,10.04884376,10.07856333,10.09885178,10.1001999,10.08924465,10.08222717
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Kenya,KEN,10.7568263,10.83770239,10.93505554,11.02598556,11.10950088,11.19329515,11.27021655,11.33851149,11.40157639,11.4471371
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Nigeria,NGA,10.13328739,10.22255787,10.33705948,10.46963926,10.60401535,10.72487178,10.83082639,10.92469518,11.01278406,11.11828955
"Population ages 15-19, male",SP.POP.1519.MA,Ghana,GHA,1440798,1479744,1522445,1563871,1602099,1638364,1673161,1704870,1734972,1766006
"Population ages 15-19, male",SP.POP.1519.MA,Kenya,KEN,2502152,2576664,2660847,2735326,2810458,2897336,2983031,3069407,3161694,3249793
"Population ages 15-19, male",SP.POP.1519.MA,Nigeria,NGA,9938749,10273045,10638466,11022391,11408661,11785061,12152763,12516724,12883974,13280320
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Ghana,GHA,10.0477569,10.08659064,10.1519635,10.21390024,10.25577397,10.28203061,10.29790423,10.29460089,10.27976521,10.27091802
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Kenya,KEN,10.66715665,10.74671872,10.86086199,10.94317969,11.02772041,11.15063647,11.26815711,11.37637408,11.48995937,11.58320737
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Nigeria,NGA,10.33637501,10.41945991,10.5270402,10.65391757,10.78427373,10.90212448,11.00614048,11.09789143,11.18333227,11.28570959
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Ghana,GHA,58.03438224,58.23049367,58.47928047,58.74680982,59.01230192,59.30683573,59.61735053,59.90936661,60.1892662,60.47353659
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Kenya,KEN,55.55789854,55.97961823,56.44602802,56.90339958,57.3842177,57.9266088,58.49392828,59.06483449,59.63956163,60.19777331
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Nigeria,NGA,52.70908199,52.89262202,53.15598365,53.45984573,53.79831379,54.19295286,54.61496187,55.03962385,55.47960818,55.93749238
"Population ages 15-64, female",SP.POP.1564.FE.IN,Ghana,GHA,8341495,8560471,8786855,9012056,9237213,9471919,9712359,9951829,10193909,10438740
"Population ages 15-64, female",SP.POP.1564.FE.IN,Kenya,KEN,13132098,13532485,13951172,14357025,14769597,15211252,15661617,16126766,16614458,17106066
"Population ages 15-64, female",SP.POP.1564.FE.IN,Nigeria,NGA,49873424,51264221,52752870,54261310,55782120,57368892,59009402,60695667,62449038,64251214
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Ghana,GHA,58.10228955,58.28868723,58.53302191,58.80093746,59.07084792,59.37180743,59.69093934,59.99291671,60.28200213,60.57352531
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Kenya,KEN,55.56930108,56.0040659,56.48623624,56.94658898,57.4302833,57.98355027,58.55671183,59.1332311,59.71699796,60.28171885
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Nigeria,NGA,52.7656488,52.93216568,53.18038123,53.46985614,53.79397951,54.17402054,54.58210728,54.99480065,55.4235421,55.86784837
"Population ages 15-64, male",SP.POP.1564.MA.IN,Ghana,GHA,8312090,8534104,8761814,8986548,9209410,9439732,9674407,9907618,10142789,10380735
"Population ages 15-64, male",SP.POP.1564.MA.IN,Kenya,KEN,13029298,13415928,13819012,14212525,14612745,15036479,15468364,15917360,16389481,16865309
"Population ages 15-64, male",SP.POP.1564.MA.IN,Nigeria,NGA,50627973,52111076,53694421,55298632,56917622,58601957,60340284,62125746,63979528,65903851
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Ghana,GHA,57.96639408,58.17223693,58.42548445,58.69262853,58.95369563,59.24178525,59.54365533,59.82567763,60.09634991,60.37332149
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Kenya,KEN,55.54641077,55.95497977,56.40549329,56.85983754,57.33773266,57.86911916,58.43049737,58.99569923,59.56126704,60.1128679
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Nigeria,NGA,52.65347669,52.85377859,53.13203567,53.45002675,53.80256229,54.21149965,54.64713009,55.08348588,55.53444258,56.00555733
"Population ages 15-64, total",SP.POP.1564.TO,Ghana,GHA,16653586,17094576,17548669,17998604,18446623,18911651,19386766,19859447,20336698,20819475
"Population ages 15-64, total",SP.POP.1564.TO,Kenya,KEN,26161395,26948413,27770185,28569551,29382342,30247731,31129981,32044126,33003939,33971376
"Population ages 15-64, total",SP.POP.1564.TO,Nigeria,NGA,100501396,103375298,106447291,109559942,112699743,115970850,119349686,122821414,126428565,130155065
"Population ages 20-24, female",SP.POP.2024.FE,Ghana,GHA,1304934,1315287,1326276,1339785,1359132,1388954,1427651,1469315,1510664,1548523
"Population ages 20-24, female",SP.POP.2024.FE,Kenya,KEN,2229283,2267924,2315622,2373222,2439367,2510900,2587207,2667961,2748381,2825518
"Population ages 20-24, female",SP.POP.2024.FE,Nigeria,NGA,8063847,8290037,8534633,8776189,9025466,9308392,9621243,9957410,10318032,10731428
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Ghana,GHA,9.089456161,8.955853413,8.834894595,8.741691573,8.691482992,8.706230429,8.774160777,8.857516786,8.933359172,8.985711075
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Kenya,KEN,9.433349885,9.385783162,9.375609669,9.413293707,9.485266378,9.571263506,9.673222777,9.782814135,9.878448488,9.957115605
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Nigeria,NGA,8.531480074,8.559763582,8.60379849,8.648179767,8.703787757,8.790008392,8.899390601,9.022156029,9.157256922,9.331213015
"Population ages 20-24, male",SP.POP.2024.MA,Ghana,GHA,1328282,1338008,1348348,1361403,1380498,1410060,1448486,1489967,1531026,1568347
"Population ages 20-24, male",SP.POP.2024.MA,Kenya,KEN,2167596,2194008,2232946,2276563,2330663,2400391,2478918,2565105,2656349,2746677
"Population ages 20-24, male",SP.POP.2024.MA,Nigeria,NGA,8346924,8589816,8847954,9100104,9359119,9652459,9976789,10324814,10698259,11130512
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Ghana,GHA,9.263095594,9.120451865,8.991044081,8.891548234,8.837206608,8.849239206,8.915086624,8.996941092,9.071378568,9.121350043
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Kenya,KEN,9.240882016,9.150739978,9.114285165,9.107811439,9.145092721,9.238102999,9.363912802,9.507240088,9.653479091,9.789957411
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Nigeria,NGA,8.680864916,8.712241042,8.755281689,8.795892133,8.84690073,8.92929698,9.035470928,9.154445269,9.28612438,9.458787589
"Population ages 25-29, female",SP.POP.2529.FE,Ghana,GHA,1198140,1217542,1236419,1253542,1268336,1281015,1291370,1301526,1315568,1336399
"Population ages 25-29, female",SP.POP.2529.FE,Kenya,KEN,2016914,2056693,2091044,2114971,2139055,2173924,2216195,2266716,2329283,2398974
"Population ages 25-29, female",SP.POP.2529.FE,Nigeria,NGA,6925960,7073545,7247275,7427852,7607833,7807842,8028665,8254408,8485134,8715678
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Ghana,GHA,8.345587596,8.290302682,8.236315158,8.178978841,8.110853671,8.029651181,7.93659793,7.846026185,7.77964987,7.754805899
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Kenya,KEN,8.534697031,8.51160556,8.466328519,8.388951057,8.31752953,8.286747644,8.286058,8.31153695,8.372093291,8.453976033
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Nigeria,NGA,7.327604984,7.303690997,7.306007692,7.319509078,7.336680385,7.373023978,7.426298852,7.479109216,7.530558878,7.57847478
"Population ages 25-29, male",SP.POP.2529.MA,Ghana,GHA,1214274,1233835,1252516,1269092,1282996,1294730,1304221,1313495,1326703,1346825
"Population ages 25-29, male",SP.POP.2529.MA,Kenya,KEN,1992724,2021726,2043469,2055991,2067290,2086900,2115254,2154192,2207719,2272318
"Population ages 25-29, male",SP.POP.2529.MA,Nigeria,NGA,7082281,7245546,7437587,7638880,7839891,8058797,8295538,8534036,8774685,9017930
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,Ghana,GHA,8.468036436,8.410369364,8.352017616,8.288646555,8.213051181,8.12545219,8.027170188,7.931341169,7.860755222,7.83300014
